neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,15,40.66841,-73.93621,1,85,25,1,0.03,1,1
0,113,40.69731,-73.98228,1,120,30,9,0.22,1,1
1,8,40.79191,-73.97322,1,117,30,4,0.13,96,327
0,13,40.68675,-73.97923,1,185,30,13,0.33,1,212
1,1,40.7591,-73.96334,1,180,30,1,0.03,49,364
1,68,40.73201,-73.98328,1,130,30,6,0.17,39,246
1,5,40.74544,-73.9748,1,83,30,1,0.09,52,311
1,28,40.76162,-73.96588,1,138,30,2,0.05,49,341
1,28,40.76792,-73.96724,1,154,30,8,0.22,12,18
1,19,40.72438,-73.98782,1,110,30,10,0.28,9,337
0,36,40.68498,-73.9996,1,190,31,23,0.62,1,288
1,52,40.73455,-73.99171,1,245,30,0,0.0,49,364
1,19,40.7318,-73.98998,1,230,30,0,0.0,49,363
1,8,40.79481,-73.97185,0,40,21,11,0.27,1,177
0,6,40.68567,-73.93257,1,85,180,0,0.0,1,1
1,53,40.71862,-73.997,1,255,31,0,0.0,1,317
2,63,40.72282,-73.85571,0,37,25,15,0.45,2,330
0,21,40.70192,-73.92464,0,55,30,0,0.0,1,1
1,19,40.73157,-73.98792,1,278,30,0,0.0,49,339
1,19,40.73235,-73.98823,1,285,30,0,0.0,49,364
0,6,40.69873,-73.93937,0,30,50,2,0.05,1,1
0,21,40.69033,-73.9083,0,50,30,12,0.31,4,326
0,12,40.70969,-73.9592,1,95,30,10,0.3,2,27
1,19,40.72916,-73.97816,0,75,120,0,0.0,1,173
0,6,40.68789,-73.9441,0,31,29,10,0.25,1,1
0,29,40.67948,-73.96567,1,150,21,1,0.03,1,1
1,14,40.74448,-73.99221,0,80,40,2,0.05,1,1
1,43,40.70425,-74.00845,1,175,30,2,0.05,96,312
1,8,40.79804,-73.96135,1,140,30,19,0.47,12,256
1,71,40.76241,-73.98587,1,180,30,5,0.15,96,303
2,25,40.74859,-73.93904,1,110,30,32,0.84,1,66
0,6,40.67834,-73.92442,1,135,30,155,3.97,1,281
1,11,40.73642,-74.00263,1,188,30,2,0.06,49,342
0,38,40.68623,-73.98956,1,300,29,7,0.19,2,312
1,14,40.7437,-73.99476,1,200,30,7,0.49,39,311
1,7,40.75994,-73.99781,1,230,30,0,0.0,3,176
1,43,40.70563,-74.00658,1,170,30,3,0.1,96,312
1,71,40.76279,-73.9854,1,285,30,7,0.19,96,311
1,7,40.76144,-73.99827,1,421,30,0,0.0,3,1
1,7,40.76584,-73.98422,1,225,30,0,0.0,49,348
1,1,40.75066,-73.97037,1,198,30,0,0.0,49,364
0,6,40.68674,-73.93375,1,135,30,26,0.64,1,365
0,15,40.66391,-73.95179,1,2100,120,0,0.0,1,363
4,92,40.88058,-73.91812,1,79,186,7,0.18,1,365
1,28,40.77287,-73.95292,1,300,31,1,0.03,1,201
1,1,40.76687,-73.98273,1,400,30,2,0.06,39,188
0,15,40.67634,-73.94133,0,55,30,0,0.0,1,365
0,12,40.71946,-73.94193,1,130,30,42,1.06,1,1
1,30,40.84077,-73.93924,1,85,30,6,0.17,34,311
1,30,40.84098,-73.94085,1,110,30,7,0.18,34,252
1,1,40.75453,-73.96473,1,205,30,0,0.0,49,364
1,5,40.7471,-73.97263,1,190,30,0,0.0,49,364
1,4,40.80147,-73.93706,0,50,30,0,0.0,1,345
1,8,40.78638,-73.97004,1,101,30,10,0.4,1,1
1,1,40.74596,-73.98195,1,110,30,4,0.14,31,126
1,1,40.7455,-73.98112,1,215,30,2,0.06,31,125
0,12,40.71826,-73.95795,1,95,30,11,0.28,1,32
1,1,40.75615,-73.9649,1,355,30,0,0.0,49,364
1,1,40.75505,-73.96484,1,185,30,0,0.0,49,364
1,5,40.74754,-73.97199,1,297,30,1,0.03,49,311
1,28,40.78465,-73.95735,1,133,30,7,0.22,91,311
1,8,40.7906,-73.97267,1,135,30,2,0.06,96,313
1,53,40.71885,-73.99572,1,142,30,6,0.15,91,342
1,7,40.76406,-73.991,1,185,30,3,0.08,91,1
1,53,40.71957,-73.99573,1,175,30,3,0.16,91,161
1,26,40.74053,-73.97906,1,133,30,7,0.2,91,312
0,13,40.68465,-73.97069,0,61,60,2,0.09,2,43
4,59,40.8787,-73.90098,0,35,30,7,0.49,2,155
1,28,40.78126,-73.94655,1,133,30,9,0.26,91,311
1,1,40.75688,-73.96815,1,150,30,9,0.26,91,206
1,52,40.72818,-73.99886,1,142,30,10,0.25,91,157
1,1,40.75605,-73.96503,1,165,30,0,0.0,91,180
1,2,40.80069,-73.95341,0,99,28,2,0.07,4,365
1,1,40.75589,-73.96753,1,133,30,7,0.21,91,310
0,21,40.70478,-73.92767,0,60,21,0,0.0,1,1
0,12,40.71976,-73.94234,1,105,180,10,0.25,1,1
1,8,40.78833,-73.97026,1,150,30,5,0.27,91,311
1,28,40.77688,-73.95505,1,250,30,1,0.04,96,333
1,26,40.74021,-73.97992,1,133,30,5,0.15,91,311
1,8,40.7824,-73.98215,1,150,30,4,0.1,8,220
1,28,40.76087,-73.96217,1,117,30,9,0.27,91,173
1,28,40.76798,-73.96755,1,140,30,4,0.3,12,57
1,28,40.78002,-73.95284,1,125,30,8,0.23,91,343
0,13,40.6876,-73.97083,0,115,28,39,1.05,1,3
1,26,40.74168,-73.9804,1,159,30,8,0.37,91,190
1,23,40.72223,-73.99189,1,220,30,3,0.12,7,2
1,26,40.74044,-73.98029,1,159,30,3,0.14,91,312
1,2,40.81613,-73.94622,1,150,30,17,0.42,1,157
1,1,40.75639,-73.96593,1,142,30,3,0.19,91,357
1,28,40.77034,-73.96257,1,125,30,11,0.32,91,105
1,7,40.75892,-73.98949,1,133,30,7,0.21,91,281
0,12,40.72138,-73.95757,1,200,30,45,1.27,1,310
1,1,40.75754,-73.96129,1,245,30,0,0.0,49,334
1,1,40.75387,-73.96744,1,125,30,11,0.29,91,157
1,26,40.74128,-73.98039,1,159,30,3,0.11,91,310
1,1,40.75573,-73.96835,1,150,30,7,0.18,91,188
0,3,40.6954,-73.96705,1,200,30,1,0.09,1,9
1,52,40.72815,-74.00111,1,165,30,7,0.28,91,142
0,21,40.69172,-73.9087,0,59,20,33,0.82,4,361
0,21,40.6913,-73.90998,0,45,30,17,0.43,4,335
0,21,40.69164,-73.90968,0,45,30,16,0.43,4,334
2,39,40.73949,-73.9282,1,95,21,102,2.9,1,138
0,21,40.70663,-73.9175,1,100,30,28,0.81,2,87
0,15,40.67386,-73.95271,1,165,30,3,0.09,1,365
0,13,40.68906,-73.97763,0,54,30,0,0.0,43,361
0,13,40.69006,-73.98056,0,54,30,0,0.0,43,361
0,16,40.66873,-73.97916,0,54,30,0,0.0,43,361
1,1,40.7566,-73.96956,1,133,30,7,0.22,91,127
1,26,40.74025,-73.97896,1,142,30,9,0.36,91,157
1,2,40.83039,-73.94532,0,65,30,6,0.16,3,365
2,39,40.74356,-73.91685,1,95,30,3,0.09,2,357
1,14,40.74392,-74.00113,1,142,30,7,0.25,91,316
1,2,40.82403,-73.95379,0,75,20,18,0.67,2,232
1,7,40.76072,-73.99818,1,239,30,2,0.07,121,365
1,2,40.82247,-73.95341,0,70,30,25,0.65,2,187
1,7,40.76078,-73.99864,1,199,30,0,0.0,121,365
1,77,40.71893,-74.00485,0,60,25,2,0.05,1,1
1,14,40.73911,-74.00047,1,225,30,87,2.17,1,280
1,28,40.78328,-73.95695,1,117,30,8,0.25,91,311
2,39,40.74518,-73.91704,1,150,30,7,0.18,2,338
1,5,40.74962,-73.97431,1,250,30,2,0.17,96,337
1,30,40.84216,-73.94101,1,95,30,7,0.19,34,322
0,75,40.62168,-74.03023,1,121,20,23,0.6,3,294
1,14,40.74069,-74.00069,1,199,30,1,0.03,2,292
1,1,40.76528,-73.98175,1,239,30,0,0.0,121,351
1,1,40.76554,-73.98289,1,239,30,0,0.0,121,352
1,1,40.76537,-73.98332,1,239,30,0,0.0,121,352
1,1,40.76573,-73.98295,1,239,30,1,0.05,121,352
1,1,40.76497,-73.98201,1,239,30,0,0.0,121,351
1,1,40.76526,-73.9817,1,239,30,0,0.0,121,352
1,7,40.76685,-73.98363,1,239,30,0,0.0,121,352
1,1,40.76647,-73.9829,1,369,30,0,0.0,121,345
1,1,40.76484,-73.98326,1,239,30,0,0.0,121,348
1,4,40.79741,-73.93884,0,50,29,40,1.14,2,1
1,2,40.8245,-73.94264,1,120,150,10,0.46,1,331
1,4,40.79796,-73.93921,0,52,32,57,1.46,2,39
1,14,40.73844,-73.99262,0,150,60,0,0.0,1,1
1,1,40.76571,-73.98312,1,239,30,0,0.0,121,352
1,7,40.76626,-73.98342,1,129,30,0,0.0,121,133
1,1,40.76536,-73.98199,1,239,30,0,0.0,121,351
1,7,40.76642,-73.98326,1,239,30,0,0.0,121,364
1,1,40.76567,-73.98308,1,239,30,0,0.0,121,352
1,7,40.76666,-73.98306,1,239,30,1,0.06,121,352
1,1,40.76511,-73.98345,1,239,30,0,0.0,121,352
0,29,40.67834,-73.96685,0,37,180,0,0.0,1,1
1,1,40.76545,-73.98156,1,239,30,1,0.23,121,351
1,7,40.76678,-73.98336,1,239,30,0,0.0,121,352
1,7,40.7663,-73.98359,1,239,30,0,0.0,121,165
1,8,40.78342,-73.97312,1,125,30,9,0.25,91,127
1,8,40.79565,-73.96584,1,400,30,1,0.03,96,311
1,43,40.705,-74.00682,1,160,30,2,0.07,96,336
1,1,40.76506,-73.98236,1,239,30,0,0.0,121,352
0,6,40.68158,-73.95798,1,129,31,6,0.15,1,1
1,1,40.76657,-73.98201,1,369,30,1,0.12,121,345
1,1,40.76537,-73.98298,1,369,30,0,0.0,121,345
1,1,40.74939,-73.98292,1,99,30,9,0.24,14,227
1,43,40.7035,-74.00713,1,178,30,2,0.06,96,332
0,75,40.61645,-74.03108,0,43,23,0,0.0,1,1
1,8,40.79226,-73.97299,1,136,30,0,0.0,15,317
1,1,40.74545,-73.98113,1,150,29,1,0.14,31,143
1,43,40.70538,-74.00664,1,175,30,3,0.08,96,311
2,183,40.67112,-73.73529,1,350,40,15,0.39,1,365
1,1,40.76686,-73.98198,1,449,30,0,0.0,121,345
1,1,40.76539,-73.98348,1,369,30,1,0.04,121,345
1,8,40.7992,-73.96792,1,110,120,2,0.05,2,34
1,7,40.76322,-73.99005,1,109,30,8,0.28,91,159
1,26,40.74205,-73.97828,1,159,30,5,0.18,91,281
1,71,40.76237,-73.98285,1,150,28,4,0.11,1,331
1,23,40.72231,-73.99069,1,175,30,12,0.32,1,1
2,126,40.72163,-73.90612,1,96,30,17,0.47,2,325
0,38,40.68469,-73.98603,1,300,180,0,0.0,1,365
1,8,40.7918,-73.97413,1,135,30,6,0.16,96,311
1,28,40.77398,-73.94607,0,42,31,0,0.0,1,1
0,20,40.731,-73.9548,1,450,365,17,0.5,1,365
0,6,40.68075,-73.91099,1,140,30,38,1.1,1,312
2,159,40.5978,-73.75296,0,40,30,0,0.0,43,354
1,19,40.72376,-73.97975,1,99,20,2,0.06,1,1
1,8,40.79839,-73.96804,1,250,90,0,0.0,2,90
1,7,40.76302,-73.99416,1,100,30,7,0.19,31,244
1,7,40.76347,-73.99296,1,96,30,5,0.13,31,246
1,7,40.76306,-73.99257,1,150,30,3,0.12,31,332
0,29,40.67631,-73.96635,1,155,30,1,0.09,21,61
1,1,40.75914,-73.96591,1,190,29,53,1.4,1,165
1,8,40.78475,-73.9717,1,650,30,3,0.09,1,137
1,9,40.7164,-73.99743,1,175,30,4,0.11,1,1
1,8,40.78461,-73.97787,0,53,30,4,0.17,3,185
1,8,40.79433,-73.96518,1,200,30,1,0.13,96,337
1,2,40.81498,-73.95078,0,45,20,0,0.0,1,1
1,5,40.7493,-73.98132,1,180,30,5,0.14,14,210
0,12,40.71486,-73.94826,0,50,60,0,0.0,2,1
0,6,40.69756,-73.93893,1,80,21,0,0.0,1,1
1,2,40.80276,-73.94976,1,376,28,53,1.4,2,310
1,8,40.7998,-73.96098,1,120,30,18,0.47,10,189
1,8,40.79895,-73.95949,1,235,30,4,0.1,12,209
1,8,40.7986,-73.96229,1,275,30,4,0.15,12,199
0,6,40.69221,-73.93823,0,50,20,19,0.56,1,2
1,4,40.7888,-73.94247,1,135,30,13,0.37,16,330
0,6,40.69186,-73.94038,0,30,80,0,0.0,1,1
0,6,40.69527,-73.94784,0,50,30,4,0.11,1,1
0,6,40.68198,-73.95347,0,250,60,2,0.05,1,1
1,8,40.80183,-73.96373,0,980,20,1,0.03,1,90
1,7,40.76747,-73.98613,1,87,30,2,0.06,52,365
1,28,40.76161,-73.96252,1,200,30,0,0.0,49,324
1,8,40.79613,-73.96638,1,197,30,2,0.06,96,104
1,30,40.8317,-73.9429,1,180,30,6,0.15,1,1
1,7,40.76344,-73.9929,1,142,30,4,0.13,31,307
1,28,40.78293,-73.94691,1,140,30,6,0.16,1,1
1,1,40.7503,-73.98144,1,184,30,9,0.25,14,332
1,2,40.82322,-73.94002,0,50,20,0,0.0,1,42
1,8,40.8001,-73.9658,0,35,45,0,0.0,1,1
0,22,40.64123,-73.96289,1,85,21,0,0.0,1,1
1,43,40.70555,-74.00812,1,155,30,1,0.03,96,335
1,8,40.79768,-73.9633,0,49,30,0,0.0,1,1
1,1,40.76049,-73.96621,1,140,30,5,0.15,12,290
2,25,40.74321,-73.95533,1,260,21,17,0.46,1,42
1,7,40.7592,-73.99313,1,177,25,21,0.65,1,10
1,28,40.77725,-73.95137,1,190,30,3,0.08,96,330
0,10,40.66631,-73.98268,0,50,20,0,0.0,1,1
1,28,40.77102,-73.95873,1,163,30,1,0.05,87,350
1,28,40.76368,-73.96153,1,187,30,2,0.09,87,287
1,28,40.76297,-73.96252,1,225,30,1,0.05,87,365
0,20,40.73282,-73.9564,1,109,30,9,0.26,1,1
1,7,40.76014,-73.99039,1,150,30,6,0.32,91,126
1,8,40.78528,-73.97623,0,50,30,3,0.09,10,365
1,1,40.75755,-73.9666,1,133,30,3,0.1,91,342
0,12,40.71267,-73.95367,0,1000,35,6,0.16,1,365
0,34,40.68349,-73.98518,1,150,29,9,0.27,4,326
1,1,40.75572,-73.96936,1,125,30,7,0.23,91,149
1,28,40.78147,-73.95284,1,100,365,27,0.78,1,17
1,28,40.76875,-73.95723,1,150,30,12,0.35,16,325
1,14,40.73887,-73.99983,1,191,30,1,0.09,87,323
1,14,40.75225,-73.99508,1,219,30,5,0.24,87,344
1,7,40.76313,-73.99482,1,115,30,4,0.12,31,65
1,7,40.76474,-73.99154,1,399,180,29,0.84,2,1
1,5,40.74859,-73.97243,1,197,30,1,0.3,96,325
1,14,40.74472,-73.99266,1,280,30,3,0.1,87,364
1,28,40.77692,-73.95126,1,390,30,1,0.07,96,239
1,1,40.75754,-73.96943,1,115,30,0,0.0,52,343
1,7,40.76152,-73.98678,1,256,30,3,0.09,87,358
1,1,40.74513,-73.98475,1,250,366,0,0.0,1,365
1,2,40.80476,-73.95416,0,41,21,2,0.16,2,1
1,4,40.7862,-73.94413,0,50,30,1,0.04,9,333
0,90,40.6311,-74.03022,0,35,30,5,0.13,2,1
1,27,40.72258,-74.00358,0,85,30,5,0.14,2,69
0,79,40.66224,-73.99805,1,196,365,4,0.12,1,365
1,2,40.82272,-73.94502,1,450,31,56,1.5,2,341
1,19,40.72886,-73.9863,0,65,18,6,0.17,1,1
1,26,40.74141,-73.97868,1,87,30,2,0.16,52,365
1,7,40.76222,-73.99889,1,239,30,2,0.1,121,365
0,97,40.70196,-73.98297,1,170,30,0,0.0,1,270
1,14,40.7453,-73.99333,1,700,30,1,0.03,2,236
1,43,40.70951,-74.01476,1,125,32,99,2.73,1,203
1,7,40.76504,-73.99491,1,150,30,4,0.12,31,339
1,8,40.78528,-73.97111,1,2000,20,0,0.0,1,1
1,28,40.77301,-73.95045,1,169,30,1,0.13,87,347
0,20,40.73547,-73.9545,0,45,28,9,0.37,1,332
1,28,40.77219,-73.95588,1,142,30,2,0.15,29,319
1,2,40.82272,-73.95144,0,40,29,2,0.08,1,1
0,15,40.67968,-73.9595,1,155,30,132,3.53,1,83
1,60,40.71098,-73.99296,0,100,30,1,0.22,1,1
1,30,40.84524,-73.93508,0,49,90,17,0.49,3,142
1,11,40.73799,-74.00074,1,199,31,81,2.36,1,85
1,43,40.70519,-74.0082,1,259,30,0,0.0,87,302
0,12,40.70879,-73.95235,0,89,30,1,0.03,1,1
1,1,40.74464,-73.98436,0,70,20,4,0.11,1,8
1,14,40.74632,-74.00431,1,170,29,0,0.0,1,64
1,28,40.7775,-73.95262,2,45,30,20,0.53,6,258
1,28,40.77854,-73.95073,2,45,30,22,0.58,6,323
1,28,40.77927,-73.95071,2,45,30,22,0.58,6,289
1,28,40.77903,-73.95238,2,45,30,22,0.58,6,294
1,28,40.77736,-73.95144,0,90,30,79,2.08,6,246
0,90,40.63095,-74.03026,0,30,90,1,0.03,2,1
1,43,40.7034,-74.00787,1,175,30,2,0.1,96,365
1,14,40.74664,-74.00165,1,249,90,2,0.06,1,177
1,1,40.76102,-73.96555,1,87,30,2,0.05,52,365
2,56,40.76803,-73.93033,1,110,21,0,0.0,1,1
1,77,40.71642,-74.00679,1,210,30,1,0.43,87,329
1,102,40.71287,-73.99811,0,75,17,17,0.48,1,38
1,68,40.7382,-73.98301,1,245,30,1,0.12,87,236
1,77,40.71642,-74.00667,1,245,30,1,0.07,87,262
1,1,40.74426,-73.98535,1,192,30,0,0.0,87,334
1,1,40.74556,-73.98542,1,219,30,0,0.0,87,343
1,14,40.73929,-73.9999,1,179,30,0,0.0,87,273
1,43,40.7052,-74.00974,1,199,30,0,0.0,87,344
1,43,40.70748,-74.01476,1,238,30,0,0.0,87,365
1,7,40.76517,-73.99331,1,115,30,6,0.17,31,331
1,71,40.76069,-73.98319,1,199,30,1,0.03,87,328
1,1,40.74927,-73.98303,1,163,30,4,0.17,14,332
1,7,40.76227,-73.99807,1,199,30,1,0.03,121,365
1,71,40.76106,-73.9848,1,256,30,0,0.0,87,340
1,14,40.74641,-74.00401,1,289,30,2,0.08,87,339
1,14,40.74651,-74.00563,1,219,30,1,0.04,87,340
1,7,40.75798,-73.99156,1,239,30,0,0.0,1,365
1,30,40.85073,-73.93851,1,126,68,17,0.47,1,1
1,7,40.7645,-73.99447,1,200,30,3,0.12,31,341
1,28,40.75993,-73.96056,1,198,30,0,0.0,49,331
1,28,40.76174,-73.96366,1,160,30,0,0.0,49,364
1,14,40.74451,-73.99236,1,270,30,0,0.0,87,350
1,14,40.7448,-73.99204,1,205,30,2,0.06,87,1
1,14,40.74491,-73.99267,1,205,30,0,0.0,87,357
1,14,40.75148,-73.99397,1,230,30,1,0.03,87,350
0,6,40.68398,-73.94515,0,69,90,0,0.0,1,365
1,52,40.72807,-74.00041,1,159,30,4,0.14,91,281
1,101,40.7109,-74.01768,1,250,30,0,0.0,12,280
1,68,40.73505,-73.98565,1,180,30,1,0.04,96,281
1,1,40.75722,-73.97842,1,559,30,2,0.17,1,1
1,1,40.76367,-73.98345,1,269,30,1,0.13,87,364
4,142,40.83458,-73.91021,1,57,90,11,0.31,7,68
0,29,40.67329,-73.96291,1,201,30,66,1.78,2,159
1,11,40.7304,-74.00887,1,215,30,0,0.0,87,365
1,28,40.77586,-73.95164,1,235,120,8,0.23,1,12
1,7,40.76502,-73.99277,1,90,30,11,0.33,31,223
1,7,40.75855,-73.98931,1,99,30,19,0.54,1,2
0,16,40.66954,-73.98226,1,150,30,42,1.11,1,117
1,8,40.79831,-73.96052,1,202,30,8,0.3,12,147
1,11,40.72993,-74.01,1,278,30,0,0.0,87,350
1,68,40.73754,-73.98741,1,225,30,1,0.04,87,249
0,38,40.68662,-73.98305,1,300,30,0,0.0,1,36
1,1,40.75266,-73.97252,1,142,30,0,0.0,12,323
1,5,40.74855,-73.98019,1,199,30,2,0.06,87,364
1,2,40.82015,-73.94593,0,62,30,1,0.03,26,188
1,14,40.73769,-73.99026,0,350,30,0,0.0,1,365
1,19,40.72665,-73.98717,1,140,31,37,1.01,1,1
1,5,40.74747,-73.98061,1,189,30,0,0.0,87,365
1,5,40.74881,-73.98059,1,268,30,0,0.0,87,365
0,22,40.6421,-73.96166,1,80,29,5,0.14,1,68
1,5,40.74789,-73.98057,1,179,30,0,0.0,87,115
1,5,40.74743,-73.97945,1,245,30,0,0.0,87,365
1,7,40.76564,-73.98367,1,369,30,1,0.03,121,345
0,12,40.71382,-73.94285,0,56,21,0,0.0,1,1
1,1,40.75641,-73.97812,1,219,30,0,0.0,87,342
0,12,40.71738,-73.94089,0,44,28,11,0.31,2,1
1,26,40.7394,-73.97996,1,225,30,0,0.0,49,364
0,12,40.71756,-73.94063,0,50,24,10,0.28,2,31
0,32,40.69707,-73.99632,1,110,30,3,0.08,1,6
1,71,40.76264,-73.98569,1,160,30,3,0.09,96,344
0,70,40.67378,-73.88846,0,35,30,86,2.29,8,326
1,28,40.76139,-73.96208,1,138,30,0,0.0,49,365
0,90,40.63359,-74.02302,1,75,30,1,0.03,1,191
1,28,40.76161,-73.96192,1,138,30,0,0.0,49,365
0,6,40.68258,-73.95871,1,60,29,2,0.06,1,221
1,8,40.78396,-73.97691,1,171,30,3,0.08,6,188
1,28,40.76969,-73.95509,1,250,30,0,0.0,1,1
1,26,40.74036,-73.98053,1,120,26,22,0.6,1,1
0,29,40.67634,-73.96651,1,270,30,3,0.11,21,255
0,24,40.65588,-73.95062,0,35,20,0,0.0,1,1
1,1,40.74569,-73.98192,1,150,30,2,0.07,31,64
1,5,40.74436,-73.97292,1,200,270,2,0.05,1,1
0,10,40.66662,-73.98168,0,100,31,1,0.88,2,283
1,28,40.77375,-73.94963,1,133,30,10,0.44,5,126
0,21,40.68584,-73.90587,0,50,20,0,0.0,1,1
1,4,40.7885,-73.9494,1,159,30,12,0.35,2,1
2,56,40.76417,-73.92816,1,99,31,4,0.11,1,5
1,71,40.75956,-73.98512,1,239,30,0,0.0,121,363
1,7,40.76045,-73.9981,1,239,30,1,0.04,121,365
2,56,40.75619,-73.92546,0,80,60,3,0.1,1,83
0,6,40.69485,-73.94866,1,225,30,0,0.0,1,249
4,144,40.85927,-73.90142,0,40,21,23,0.61,2,266
2,87,40.7234,-73.85787,1,50,20,2,0.08,1,1
0,21,40.70222,-73.92947,0,65,21,0,0.0,1,1
2,56,40.77159,-73.93089,0,40,90,0,0.0,2,1
1,28,40.76113,-73.96092,1,139,30,0,0.0,33,362
1,7,40.76334,-73.98909,1,117,30,9,0.4,91,105
1,5,40.74637,-73.97207,1,200,30,0,0.0,49,364
1,71,40.76375,-73.98387,1,257,30,0,0.0,87,364
0,38,40.68724,-73.98497,1,120,30,7,0.38,21,342
1,1,40.75186,-73.97062,1,259,30,0,0.0,121,184
1,53,40.71938,-73.9952,1,90,31,9,0.24,5,221
1,7,40.76409,-73.99122,1,199,30,4,0.14,91,1
1,27,40.7207,-73.99815,1,76,30,10,0.31,1,30
0,29,40.67649,-73.96697,1,143,31,3,0.08,1,1
1,1,40.75608,-73.96895,1,200,30,2,0.12,91,101
1,7,40.76327,-73.98937,1,185,30,4,0.13,91,1
1,2,40.80521,-73.95213,1,145,31,3,0.08,1,1
1,1,40.74439,-73.98125,1,185,29,1,0.04,31,139
0,6,40.68444,-73.9287,1,92,30,17,0.5,2,113
4,142,40.8357,-73.91023,1,110,90,11,0.3,7,77
1,7,40.76066,-73.99922,1,199,30,0,0.0,121,365
1,7,40.76207,-73.99937,1,239,30,0,0.0,121,365
1,7,40.76216,-73.99775,1,235,30,1,0.04,121,365
1,7,40.76112,-73.99893,1,239,30,0,0.0,121,365
1,7,40.76258,-73.99771,1,239,30,1,0.08,121,179
1,1,40.75695,-73.97988,1,279,30,0,0.0,87,332
1,7,40.76077,-73.99822,1,239,30,1,0.04,121,365
1,7,40.76196,-73.99803,1,239,30,1,0.04,121,365
1,7,40.76112,-73.99887,1,239,30,2,0.07,121,365
1,7,40.76103,-73.99745,1,239,30,0,0.0,121,365
1,7,40.75833,-73.99019,1,229,30,2,0.08,23,1
1,7,40.76213,-73.99972,1,239,30,1,0.03,121,365
1,7,40.76201,-73.99755,1,239,30,0,0.0,121,365
1,7,40.76108,-73.99812,1,239,30,1,0.06,121,357
1,7,40.75892,-73.99146,1,150,30,2,0.06,23,213
1,71,40.76369,-73.98476,1,150,30,1,0.77,23,335
1,1,40.76569,-73.98281,1,219,30,8,0.3,23,362
1,1,40.75143,-73.96973,1,1100,120,0,0.0,121,184
2,81,40.73888,-73.87299,1,178,30,83,2.22,1,342
1,26,40.74448,-73.97776,1,176,30,4,0.15,23,1
1,8,40.78305,-73.97757,1,240,30,4,0.11,1,1
1,26,40.74375,-73.97774,1,191,30,0,0.0,23,362
1,7,40.76245,-73.98767,1,150,30,1,0.04,23,332
1,1,40.74562,-73.98538,0,79,99,0,0.0,3,364
2,44,40.70971,-73.89741,1,80,28,1,0.1,1,365
1,26,40.73955,-73.98243,1,199,30,36,0.98,1,242
2,44,40.69807,-73.90614,0,40,21,0,0.0,1,1
0,10,40.6612,-73.98568,1,70,70,3,0.08,1,1
1,14,40.74494,-74.00116,1,225,30,0,0.0,1,280
1,4,40.7977,-73.93736,0,65,28,1,0.03,1,1
1,43,40.70566,-74.00865,1,100,20,3,0.09,1,340
1,28,40.76371,-73.96153,1,225,30,1,0.03,87,341
1,23,40.71932,-73.99396,1,100,32,3,0.11,5,243
1,7,40.76111,-73.99818,1,219,30,0,0.0,121,365
1,8,40.77936,-73.97874,1,167,30,1,0.04,87,342
1,1,40.76071,-73.96469,1,150,30,8,0.36,12,267
1,1,40.74992,-73.97223,1,189,30,0,0.0,87,188
0,22,40.63736,-73.95669,1,75,30,46,1.25,1,89
1,1,40.7588,-73.96611,1,260,30,1,0.07,87,341
2,56,40.7696,-73.92694,1,79,21,0,0.0,1,1
1,1,40.75897,-73.9617,1,210,30,0,0.0,87,188
1,1,40.75724,-73.96384,1,245,30,0,0.0,87,280
1,1,40.75726,-73.96177,1,220,30,0,0.0,87,188
1,1,40.75683,-73.9659,1,95,30,5,0.23,52,342
1,1,40.74564,-73.98174,1,250,30,1,0.04,31,215
1,8,40.79093,-73.97969,1,167,30,0,0.0,87,335
1,7,40.76294,-73.98574,1,199,30,1,0.09,87,329
1,28,40.78531,-73.95683,1,150,30,2,0.07,91,319
1,28,40.7746,-73.95546,1,125,30,7,0.32,5,325
1,8,40.78435,-73.97579,1,295,30,2,0.06,6,1
1,28,40.76911,-73.95738,1,200,30,0,0.0,87,365
1,28,40.7706,-73.95725,1,149,30,2,0.08,87,339
1,7,40.76646,-73.98649,1,220,30,0,0.0,49,365
1,8,40.77567,-73.9786,0,95,21,2,0.05,1,281
1,19,40.72605,-73.98705,1,99,17,11,0.3,1,1
1,28,40.77989,-73.94763,0,49,19,6,0.17,10,285
1,71,40.76122,-73.98292,1,185,30,4,0.21,1,292
1,1,40.75004,-73.97089,1,115,30,5,0.14,10,289
1,26,40.74136,-73.98006,1,159,30,5,0.14,91,312
0,12,40.72012,-73.95675,1,130,28,20,0.59,1,80
2,56,40.76764,-73.9279,1,125,25,5,0.14,1,1
0,17,40.64999,-73.97307,1,100,30,2,0.06,1,222
1,68,40.73786,-73.98678,1,129,90,6,0.25,1,1
1,26,40.73969,-73.98445,1,175,30,5,0.14,39,283
1,50,40.74023,-73.98443,1,185,30,9,0.29,39,346
1,28,40.77377,-73.9468,1,125,30,8,0.25,5,1
1,28,40.77467,-73.95533,1,133,30,11,0.34,5,126
1,26,40.74033,-73.98268,1,189,365,7,0.19,1,362
1,50,40.7414,-73.99075,1,215,45,0,0.0,1,25
1,28,40.77672,-73.94697,0,51,30,9,0.25,10,220
1,19,40.72927,-73.99039,1,300,30,2,0.06,39,310
0,12,40.71301,-73.9495,1,200,30,47,1.41,1,298
